neighbourhood,Aboriginal languages,Afrikaans,Afro-Asiatic languages,Akan (Twi),Albanian,Algonquian languages,American Sign Language,Amharic,Arabic,Armenian,Assyrian Neo-Aramaic,Athabaskan languages,Austro-Asiatic languages,"Austro-Asiatic languages, n.i.e",Austronesian languages,Azerbaijani,Babine (Wetsuwet'en),Baltic languages,Balto-Slavic languages,Bamanankan,Beaver,Belarusan,Bengali,Berber languages,Bikol,Bilen,Blackfoot,Bosnian,Bulgarian,Burmese,Cantonese,Carrier,Catalan,Cayuga,Cebuano,Celtic languages,Chaldean Neo-Aramaic,Chilcotin,Chinese languages,Comox,Cree-Montagnais languages,Creole languages,Croatian,Cushitic languages,Czech,Dakota,Danish,Dene,Dinka,Dogrib (Tlicho),Dravidian languages,Dutch,Eastern Algonquian languages,Edo,English,English and French,English and non-official language,"English, French and non-official language",Estonian,Ewe,Fijian,Finnish,French,French and non-official language,Frisian,"Fulah (Pular, Pulaar, Fulfulde)",Ga,Ganda,Georgian,German,Germanic languages,Gitxsan (Gitksan),Greek,Gujarati,Gwich'in,Haida,Haisla,Haitian Creole,Hakka,Halkomelem,Harari,Hebrew,Heiltsuk,Hiligaynon,Hindi,Hmong-Mien languages,Hungarian,Icelandic,Igbo,Ilocano,Indo-Aryan languages,Indo-European languages,Indo-Iranian languages,Inuinnaqtun (Inuvialuktun),Inuit languages,Inuktitut,Iranian languages,Iroquoian languages,Italian,Italic (Romance) languages,Japanese,Kabyle,Kannada,Karenic languages,Kartvelian languages,Kashmiri,Kaska (Nahani),Khmer (Cambodian),Kinyarwanda (Rwanda),Konkani,Korean,Kurdish,Kutenai,Kwakiutl (Kwak'wala),Lao,Latvian,Lillooet,Lingala,Lithuanian,Macedonian,Malagasy,Malay,Malayalam,Maltese,Mandarin,Marathi,Michif,Min Dong,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",Mohawk,Mongolian,Mongolic languages,Mother tongue for the total population excluding institutional residents,Multiple responses,Nepali,Niger-Congo languages,Nilo-Saharan languages,Nisga'a,Non-Aboriginal languages,Non-official languages,North Slavey (Hare),Northern Athabaskan languages,Northern Tutchone,Norwegian,Nuu-chah-nulth (Nootka),Official languages,Ojibway-Potawatomi languages,Okanagan,Oneida,Oriya (Odia),Oromo,"Pampangan (Kapampangan, Pampango)",Pangasinan,Pashto,Persian (Farsi),Polish,Portuguese,Punjabi (Panjabi),Quebec Sign Language,Romanian,Rundi (Kirundi),Russian,Salish languages,Sarsi (Sarcee),Scottish Gaelic,Sekani,Semitic languages,Serbian,Serbo-Croatian,Shona,Shuswap (Secwepemctsin),Sign languages,"Sign languages, n.i.e",Sindhi,Single responses,Sinhala (Sinhalese),Sino-Tibetan languages,Siouan languages,Slavey-Hare languages,Slavic languages,Slovak,Slovene (Slovenian),Somali,South Slavey,Southern Tutchone,Spanish,Squamish,Stoney,Straits,Swahili,Swedish,"Tagalog (Pilipino, Filipino)",Tahltan,Tahltan languages,Tai-Kadai languages,"Tai-Kadai languages, n.i.e",Tamil,Telugu,Thai,Thompson (Ntlakapamux),Tibetan,Tibeto-Burman languages,Tigrigna,Tlingit,Tsimshian,Tsimshian languages,Turkic languages,Turkish,Tutchone languages,Ukrainian,Uralic languages,Urdu,Uyghur,Uzbek,Vietnamese,Vlaams (Flemish),Wakashan languages,Waray-Waray,Welsh,Wolof,Wu (Shanghainese),Yiddish,Yoruba
Clairlea-Birchmount,5.0,0.0,680.0,10.0,160.0,0.0,0.0,290.0,160.0,30.0,0.0,0.0,105.0,0.0,1840.0,0.0,0.0,15.0,640.0,5.0,0.0,0.0,2130.0,5.0,0.0,0.0,0.0,5.0,70.0,5.0,875.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,1765.0,0.0,0.0,15.0,10.0,45.0,15.0,0.0,5.0,0.0,0.0,0.0,540.0,5.0,0.0,0.0,12770.0,35.0,1230.0,20.0,10.0,0.0,0.0,5.0,300.0,30.0,0.0,0.0,0.0,5.0,0.0,85.0,100.0,0.0,555.0,75.0,0.0,0.0,0.0,0.0,20.0,0.0,35.0,5.0,0.0,30.0,145.0,0.0,140.0,0.0,5.0,160.0,3555.0,6360.0,3890.0,0.0,0.0,0.0,330.0,0.0,385.0,975.0,75.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,15.0,5.0,85.0,20.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,195.0,0.0,5.0,40.0,0.0,745.0,5.0,0.0,0.0,25.0,0.0,5.0,10.0,26320.0,1340.0,130.0,130.0,5.0,0.0,11920.0,11900.0,0.0,0.0,0.0,0.0,0.0,13065.0,5.0,0.0,0.0,5.0,10.0,10.0,10.0,45.0,265.0,85.0,135.0,145.0,0.0,100.0,0.0,115.0,0.0,0.0,0.0,0.0,630.0,60.0,0.0,5.0,0.0,0.0,10.0,45.0,24975.0,40.0,1815.0,0.0,0.0,630.0,20.0,5.0,40.0,0.0,0.0,355.0,0.0,0.0,0.0,30.0,0.0,1530.0,0.0,0.0,20.0,0.0,445.0,40.0,15.0,0.0,45.0,55.0,125.0,0.0,0.0,0.0,55.0,55.0,0.0,5.0,165.0,820.0,5.0,5.0,105.0,0.0,0.0,5.0,0.0,0.0,25.0,0.0,10.0
Clanton Park,0.0,0.0,415.0,10.0,45.0,0.0,0.0,10.0,90.0,20.0,0.0,0.0,85.0,0.0,2265.0,15.0,0.0,15.0,970.0,0.0,0.0,5.0,25.0,0.0,10.0,0.0,0.0,0.0,30.0,5.0,140.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,50.0,15.0,0.0,5.0,8625.0,30.0,685.0,10.0,10.0,0.0,0.0,10.0,180.0,15.0,0.0,5.0,0.0,0.0,10.0,60.0,205.0,0.0,180.0,25.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,290.0,0.0,45.0,25.0,0.0,185.0,0.0,5.0,250.0,145.0,3100.0,290.0,0.0,0.0,0.0,145.0,0.0,740.0,1385.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,215.0,10.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,10.0,0.0,5.0,185.0,10.0,0.0,0.0,15.0,0.0,0.0,5.0,16420.0,740.0,5.0,35.0,0.0,0.0,6880.0,6885.0,0.0,0.0,0.0,0.0,0.0,8800.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,0.0,130.0,85.0,155.0,35.0,0.0,80.0,0.0,690.0,0.0,0.0,0.0,0.0,405.0,45.0,15.0,0.0,0.0,0.0,0.0,0.0,15680.0,0.0,400.0,0.0,0.0,960.0,10.0,5.0,10.0,0.0,0.0,415.0,0.0,0.0,0.0,0.0,5.0,1850.0,0.0,0.0,0.0,0.0,35.0,5.0,5.0,0.0,30.0,35.0,5.0,0.0,0.0,0.0,85.0,65.0,0.0,40.0,190.0,40.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,10.0
Cliffcrest,5.0,0.0,145.0,10.0,30.0,0.0,0.0,30.0,55.0,20.0,5.0,0.0,50.0,0.0,465.0,5.0,0.0,10.0,465.0,0.0,0.0,0.0,1105.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,255.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,600.0,0.0,0.0,15.0,15.0,10.0,20.0,0.0,5.0,0.0,0.0,0.0,460.0,30.0,0.0,5.0,10335.0,55.0,405.0,5.0,25.0,0.0,0.0,5.0,145.0,15.0,0.0,0.0,0.0,0.0,0.0,160.0,210.0,0.0,160.0,25.0,0.0,0.0,0.0,5.0,15.0,0.0,5.0,5.0,0.0,15.0,35.0,0.0,40.0,0.0,0.0,35.0,1385.0,2920.0,1590.0,0.0,0.0,0.0,195.0,0.0,200.0,445.0,25.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.0,35.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,90.0,0.0,10.0,25.0,15.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15865.0,490.0,25.0,35.0,0.0,0.0,4900.0,4905.0,0.0,0.0,0.0,0.0,0.0,10470.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,155.0,150.0,70.0,40.0,0.0,20.0,0.0,70.0,0.0,0.0,0.0,0.0,140.0,30.0,0.0,5.0,0.0,0.0,0.0,15.0,15375.0,10.0,610.0,0.0,0.0,455.0,10.0,10.0,15.0,0.0,0.0,150.0,0.0,0.0,0.0,10.0,5.0,400.0,0.0,0.0,10.0,5.0,410.0,15.0,5.0,0.0,5.0,5.0,20.0,0.0,0.0,0.0,40.0,35.0,0.0,35.0,80.0,125.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
Corso Italia-Davenport,5.0,5.0,85.0,0.0,25.0,5.0,0.0,15.0,55.0,15.0,0.0,0.0,150.0,0.0,225.0,0.0,0.0,10.0,190.0,5.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,180.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,355.0,0.0,0.0,0.0,25.0,0.0,15.0,0.0,5.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,6555.0,35.0,460.0,5.0,5.0,0.0,0.0,10.0,165.0,20.0,0.0,0.0,5.0,0.0,0.0,50.0,80.0,0.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,25.0,0.0,35.0,5.0,0.0,10.0,105.0,5775.0,185.0,0.0,0.0,0.0,85.0,0.0,1495.0,5200.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,60.0,5.0,0.0,0.0,0.0,5.0,0.0,5.0,10.0,5.0,0.0,5.0,0.0,5.0,155.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,14110.0,530.0,0.0,35.0,0.0,0.0,6850.0,6855.0,0.0,0.0,0.0,0.0,0.0,6720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,50.0,2715.0,35.0,0.0,5.0,0.0,40.0,0.0,0.0,0.0,0.0,85.0,5.0,10.0,0.0,0.0,5.0,10.0,0.0,13565.0,0.0,365.0,0.0,0.0,190.0,0.0,5.0,0.0,0.0,0.0,965.0,0.0,0.0,0.0,0.0,20.0,195.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,15.0,15.0,0.0,0.0,0.0,30.0,30.0,0.0,15.0,55.0,15.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0
Danforth,5.0,5.0,90.0,5.0,20.0,10.0,0.0,30.0,40.0,0.0,0.0,0.0,40.0,0.0,50.0,0.0,0.0,10.0,225.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,415.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,585.0,0.0,0.0,5.0,15.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,6245.0,55.0,230.0,10.0,5.0,0.0,0.0,5.0,215.0,15.0,0.0,0.0,0.0,0.0,0.0,65.0,105.0,0.0,505.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,5.0,370.0,1880.0,410.0,0.0,0.0,0.0,40.0,0.0,415.0,615.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,5.0,15.0,0.0,0.0,0.0,45.0,0.0,5.0,0.0,0.0,125.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0,9605.0,305.0,0.0,15.0,0.0,0.0,2830.0,2845.0,0.0,0.0,0.0,0.0,0.0,6455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,55.0,30.0,0.0,10.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,45.0,5.0,0.0,0.0,5.0,0.0,0.0,9300.0,0.0,595.0,0.0,0.0,215.0,5.0,10.0,5.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,5.0,40.0,0.0,0.0,0.0,0.0,15.0,0.0,5.0,0.0,5.0,15.0,5.0,0.0,0.0,0.0,15.0,15.0,0.0,15.0,35.0,85.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
Danforth East York,0.0,0.0,130.0,5.0,115.0,0.0,0.0,30.0,75.0,5.0,0.0,0.0,60.0,0.0,260.0,5.0,0.0,5.0,675.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,5.0,135.0,20.0,785.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1035.0,0.0,5.0,5.0,5.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,35.0,20.0,0.0,0.0,10745.0,65.0,440.0,20.0,25.0,0.0,0.0,25.0,355.0,25.0,0.0,0.0,0.0,0.0,5.0,85.0,125.0,0.0,1305.0,155.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,55.0,0.0,30.0,0.0,5.0,10.0,445.0,3610.0,585.0,0.0,0.0,0.0,115.0,0.0,390.0,785.0,80.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,65.0,5.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,165.0,5.0,5.0,0.0,0.0,175.0,5.0,0.0,0.0,20.0,0.0,0.0,0.0,17105.0,545.0,0.0,20.0,0.0,0.0,5460.0,5455.0,0.0,0.0,0.0,5.0,0.0,11100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,80.0,55.0,125.0,40.0,0.0,30.0,0.0,85.0,0.0,0.0,0.0,0.0,115.0,135.0,20.0,0.0,0.0,0.0,0.0,10.0,16555.0,0.0,1065.0,0.0,0.0,665.0,5.0,10.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,5.0,235.0,0.0,0.0,15.0,0.0,40.0,0.0,5.0,0.0,5.0,30.0,15.0,0.0,0.0,0.0,45.0,35.0,0.0,30.0,70.0,155.0,0.0,0.0,50.0,0.0,0.0,0.0,5.0,0.0,15.0,0.0,5.0
Don Valley Village,0.0,0.0,825.0,10.0,115.0,0.0,5.0,10.0,730.0,505.0,0.0,0.0,55.0,0.0,1470.0,65.0,0.0,5.0,1075.0,0.0,0.0,5.0,215.0,0.0,5.0,0.0,0.0,5.0,65.0,10.0,1945.0,0.0,0.0,0.0,75.0,5.0,0.0,0.0,5900.0,0.0,0.0,20.0,50.0,15.0,20.0,0.0,5.0,0.0,0.0,0.0,500.0,20.0,0.0,0.0,7965.0,70.0,1285.0,70.0,20.0,5.0,0.0,30.0,235.0,50.0,0.0,5.0,5.0,0.0,0.0,105.0,175.0,0.0,245.0,270.0,0.0,0.0,0.0,0.0,40.0,0.0,10.0,25.0,0.0,25.0,185.0,0.0,150.0,0.0,5.0,85.0,1200.0,6950.0,3475.0,0.0,0.0,0.0,2270.0,0.0,75.0,1360.0,100.0,0.0,10.0,0.0,5.0,10.0,0.0,0.0,0.0,20.0,740.0,120.0,0.0,0.0,5.0,10.0,0.0,0.0,5.0,40.0,0.0,50.0,75.0,0.0,3620.0,65.0,0.0,0.0,100.0,0.0,5.0,0.0,26850.0,1470.0,5.0,60.0,0.0,0.0,17155.0,17155.0,0.0,0.0,0.0,0.0,0.0,8205.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,35.0,2105.0,115.0,100.0,95.0,0.0,545.0,0.0,550.0,0.0,0.0,0.0,0.0,815.0,135.0,20.0,5.0,0.0,5.0,0.0,60.0,25370.0,45.0,5915.0,0.0,0.0,1065.0,25.0,5.0,10.0,0.0,0.0,635.0,0.0,0.0,0.0,10.0,5.0,1190.0,0.0,0.0,20.0,0.0,325.0,90.0,20.0,0.0,5.0,15.0,15.0,0.0,0.0,0.0,280.0,175.0,0.0,50.0,210.0,245.0,0.0,25.0,50.0,0.0,0.0,5.0,0.0,0.0,65.0,35.0,10.0
Dorset Park,0.0,0.0,975.0,15.0,55.0,0.0,5.0,60.0,780.0,135.0,10.0,0.0,125.0,0.0,2180.0,0.0,0.0,5.0,335.0,0.0,0.0,0.0,555.0,0.0,10.0,5.0,0.0,5.0,25.0,0.0,1195.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,2300.0,0.0,0.0,30.0,15.0,45.0,20.0,0.0,0.0,0.0,0.0,0.0,2490.0,5.0,0.0,5.0,9615.0,50.0,1360.0,30.0,15.0,0.0,0.0,10.0,200.0,40.0,0.0,0.0,0.0,0.0,0.0,80.0,110.0,0.0,485.0,530.0,0.0,0.0,0.0,0.0,70.0,0.0,35.0,0.0,0.0,30.0,205.0,0.0,65.0,0.0,5.0,130.0,2275.0,4690.0,2970.0,0.0,0.0,0.0,680.0,0.0,175.0,575.0,25.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,10.0,10.0,40.0,35.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,95.0,0.0,10.0,80.0,10.0,915.0,30.0,0.0,0.0,25.0,0.0,0.0,5.0,24395.0,1480.0,35.0,80.0,0.0,0.0,13120.0,13120.0,0.0,0.0,0.0,0.0,0.0,9795.0,0.0,0.0,0.0,0.0,5.0,15.0,5.0,95.0,550.0,55.0,90.0,125.0,0.0,70.0,0.0,50.0,0.0,0.0,0.0,0.0,925.0,45.0,10.0,5.0,0.0,10.0,10.0,15.0,22910.0,65.0,2325.0,0.0,0.0,330.0,5.0,5.0,35.0,0.0,0.0,255.0,0.0,0.0,0.0,10.0,0.0,1880.0,0.0,0.0,10.0,0.0,2330.0,70.0,5.0,0.0,5.0,15.0,35.0,0.0,0.0,0.0,60.0,60.0,0.0,10.0,80.0,700.0,0.0,0.0,120.0,0.0,0.0,5.0,0.0,0.0,20.0,0.0,20.0
Dovercourt-Wallace Emerson-Junction,0.0,5.0,525.0,10.0,30.0,0.0,5.0,120.0,175.0,15.0,0.0,0.0,630.0,0.0,395.0,0.0,0.0,35.0,780.0,5.0,0.0,5.0,300.0,0.0,0.0,0.0,0.0,10.0,10.0,50.0,1360.0,0.0,10.0,0.0,10.0,5.0,10.0,0.0,2120.0,0.0,0.0,25.0,30.0,55.0,30.0,0.0,5.0,0.0,0.0,0.0,250.0,35.0,0.0,0.0,19345.0,135.0,1055.0,20.0,20.0,0.0,0.0,5.0,510.0,45.0,5.0,5.0,0.0,15.0,0.0,130.0,195.0,0.0,400.0,110.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,35.0,0.0,20.0,75.0,0.0,175.0,0.0,20.0,25.0,860.0,10315.0,1000.0,0.0,0.0,0.0,125.0,0.0,1030.0,7925.0,170.0,0.0,0.0,35.0,0.0,0.0,0.0,5.0,5.0,10.0,260.0,5.0,0.0,0.0,10.0,10.0,0.0,0.0,20.0,10.0,0.0,15.0,20.0,10.0,595.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,36355.0,1270.0,0.0,75.0,5.0,0.0,15230.0,15230.0,0.0,0.0,0.0,5.0,0.0,19865.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,20.0,100.0,220.0,5520.0,185.0,0.0,40.0,5.0,195.0,0.0,0.0,0.0,0.0,460.0,85.0,5.0,10.0,0.0,5.0,15.0,15.0,35100.0,20.0,2280.0,0.0,0.0,755.0,25.0,10.0,55.0,0.0,0.0,1300.0,0.0,0.0,0.0,15.0,15.0,320.0,0.0,0.0,30.0,0.0,220.0,0.0,15.0,0.0,65.0,150.0,100.0,0.0,0.0,0.0,70.0,60.0,0.0,95.0,190.0,165.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
Downsview-Roding-CFB,5.0,0.0,625.0,170.0,70.0,0.0,0.0,35.0,245.0,20.0,90.0,0.0,1560.0,0.0,3070.0,5.0,0.0,10.0,590.0,0.0,0.0,5.0,100.0,0.0,0.0,0.0,0.0,10.0,15.0,5.0,415.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,680.0,0.0,0.0,115.0,90.0,145.0,25.0,0.0,0.0,0.0,0.0,0.0,210.0,10.0,0.0,35.0,15010.0,50.0,1580.0,30.0,5.0,15.0,0.0,5.0,215.0,40.0,0.0,5.0,0.0,5.0,0.0,80.0,100.0,0.0,140.0,145.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,65.0,70.0,0.0,165.0,0.0,25.0,330.0,555.0,10645.0,855.0,0.0,0.0,0.0,305.0,0.0,4410.0,8870.0,35.0,0.0,5.0,0.0,5.0,0.0,0.0,75.0,0.0,0.0,95.0,90.0,0.0,0.0,35.0,5.0,0.0,0.0,10.0,10.0,0.0,5.0,10.0,10.0,125.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,35025.0,1695.0,15.0,405.0,0.0,0.0,18110.0,18115.0,0.0,0.0,0.0,0.0,0.0,15215.0,0.0,0.0,0.0,0.0,30.0,10.0,15.0,20.0,190.0,155.0,1155.0,90.0,0.0,100.0,0.0,185.0,0.0,0.0,0.0,0.0,495.0,25.0,0.0,5.0,0.0,5.0,20.0,0.0,33335.0,40.0,690.0,0.0,0.0,575.0,20.0,20.0,110.0,0.0,0.0,3215.0,0.0,0.0,0.0,35.0,0.0,2505.0,0.0,0.0,45.0,0.0,175.0,15.0,5.0,0.0,5.0,20.0,105.0,0.0,0.0,0.0,435.0,435.0,0.0,50.0,185.0,80.0,0.0,5.0,1485.0,0.0,0.0,5.0,0.0,5.0,10.0,5.0,45.0
Dufferin Grove,5.0,0.0,95.0,0.0,15.0,5.0,0.0,10.0,50.0,10.0,0.0,0.0,180.0,0.0,105.0,0.0,0.0,20.0,340.0,0.0,0.0,0.0,70.0,0.0,5.0,0.0,0.0,5.0,15.0,5.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610.0,0.0,0.0,5.0,35.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,45.0,10.0,0.0,0.0,6630.0,45.0,280.0,5.0,5.0,0.0,0.0,0.0,210.0,15.0,0.0,0.0,0.0,0.0,5.0,55.0,75.0,0.0,80.0,15.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,0.0,40.0,0.0,50.0,0.0,0.0,0.0,230.0,3220.0,265.0,0.0,0.0,0.0,30.0,0.0,190.0,2435.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,85.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,20.0,0.0,0.0,5.0,0.0,5.0,200.0,10.0,0.0,5.0,20.0,0.0,0.0,5.0,11740.0,345.0,0.0,15.0,0.0,0.0,4540.0,4550.0,0.0,0.0,0.0,5.0,0.0,6840.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,20.0,85.0,1695.0,35.0,0.0,10.0,0.0,65.0,0.0,0.0,0.0,0.0,90.0,25.0,0.0,0.0,0.0,0.0,5.0,10.0,11390.0,0.0,655.0,0.0,0.0,315.0,15.0,5.0,5.0,0.0,0.0,540.0,0.0,0.0,0.0,5.0,5.0,95.0,0.0,0.0,0.0,0.0,40.0,5.0,0.0,0.0,45.0,40.0,10.0,0.0,0.0,0.0,20.0,20.0,0.0,55.0,65.0,60.0,0.0,0.0,185.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
East End-Danforth,15.0,5.0,290.0,10.0,15.0,5.0,0.0,85.0,130.0,0.0,0.0,5.0,40.0,0.0,440.0,0.0,0.0,30.0,420.0,0.0,0.0,0.0,440.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,515.0,0.0,0.0,0.0,35.0,10.0,0.0,0.0,810.0,0.0,5.0,15.0,25.0,15.0,30.0,0.0,5.0,0.0,0.0,0.0,70.0,35.0,0.0,5.0,15525.0,95.0,405.0,5.0,15.0,0.0,0.0,10.0,385.0,20.0,0.0,0.0,0.0,0.0,5.0,145.0,210.0,0.0,125.0,35.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,10.0,0.0,5.0,75.0,0.0,70.0,5.0,0.0,35.0,995.0,2550.0,1115.0,0.0,0.0,0.0,120.0,0.0,170.0,645.0,55.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,15.0,0.0,0.0,5.0,20.0,0.0,0.0,10.0,30.0,0.0,10.0,10.0,0.0,245.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,21095.0,535.0,5.0,45.0,0.0,0.0,4645.0,4645.0,0.0,0.0,0.0,5.0,0.0,15910.0,10.0,0.0,0.0,0.0,15.0,5.0,0.0,10.0,105.0,95.0,140.0,105.0,0.0,40.0,0.0,75.0,0.0,0.0,0.0,0.0,275.0,45.0,10.0,0.0,0.0,5.0,0.0,0.0,20565.0,15.0,830.0,0.0,0.0,395.0,20.0,0.0,15.0,0.0,0.0,295.0,0.0,0.0,0.0,5.0,15.0,320.0,0.0,0.0,25.0,0.0,50.0,10.0,10.0,0.0,10.0,25.0,45.0,0.0,0.0,0.0,70.0,55.0,0.0,30.0,85.0,310.0,0.0,0.0,40.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
Edenbridge-Humber Valley,0.0,0.0,220.0,25.0,195.0,0.0,0.0,25.0,70.0,15.0,0.0,0.0,45.0,0.0,155.0,0.0,0.0,70.0,2340.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,55.0,0.0,120.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,260.0,0.0,5.0,10.0,125.0,60.0,30.0,0.0,5.0,0.0,0.0,0.0,15.0,35.0,0.0,0.0,8240.0,30.0,345.0,15.0,15.0,0.0,0.0,10.0,185.0,10.0,0.0,0.0,0.0,0.0,0.0,155.0,200.0,0.0,125.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,30.0,0.0,90.0,0.0,0.0,5.0,140.0,5230.0,220.0,0.0,0.0,0.0,90.0,0.0,845.0,2130.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,180.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,55.0,45.0,0.0,5.0,0.0,50.0,115.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,15195.0,400.0,5.0,40.0,0.0,0.0,6365.0,6370.0,0.0,0.0,0.0,0.0,0.0,8425.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,65.0,505.0,460.0,35.0,0.0,105.0,0.0,320.0,0.0,0.0,0.0,0.0,160.0,295.0,30.0,0.0,0.0,0.0,5.0,0.0,14795.0,5.0,275.0,0.0,0.0,2275.0,35.0,35.0,60.0,0.0,0.0,710.0,0.0,0.0,0.0,5.0,5.0,140.0,0.0,0.0,5.0,0.0,5.0,10.0,5.0,0.0,10.0,15.0,5.0,0.0,0.0,0.0,55.0,45.0,0.0,765.0,115.0,20.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0
